time,BTC,BTC_diff,BTC_EMA12,BTC_EMA26,ETH,ETH_diff,ETH_EMA12,ETH_EMA26,USDT,USDT_diff,USDT_EMA12,USDT_EMA26,BNB,BNB_diff,BNB_EMA12,BNB_EMA26,USDC,USDC_diff,USDC_EMA12,USDC_EMA26
2022-01-01,47737.35,1540.0400000000009,48176.20306153076,49432.04871789381,3766.74,90.94999999999982,3855.610676394591,3966.555222564344,1.0,0.00029999999999996696,1.0001515980318283,1.0003723195324867,527.5,15.79000000000002,531.7845165726019,543.1799404002854,1.0,0.0006000000000000449,0.9998708886951565,0.9999617189508818
2022-01-02,47306.41,-430.93999999999505,48042.38874437218,49274.59399804983,3830.92,64.18000000000029,3851.812110795423,3956.5081690410593,1.0,0.0,1.0001282752577008,1.000344740307858,531.25,3.75,531.7022832537401,542.2962411113754,1.0,0.0,0.9998907519728247,0.9999645545841498
2022-01-03,46450.79,-855.6200000000026,47797.52739908415,49065.42333152762,3765.16,-65.76000000000022,3838.4810168268964,3942.3342305935735,1.0,0.0,1.00010854060267,1.0003192039887574,511.89,-19.360000000000014,528.6542396762417,540.0439269549772,1.0,0.0,0.9999075593616209,0.9999671801705091
2022-01-04,45824.54,-626.25,47493.99087614813,48825.357899562616,3785.67,20.51000000000022,3830.3562450073737,3930.729472771827,0.9997,-0.00029999999999996696,1.0000456882022593,1.0002733370266272,506.73,-5.159999999999968,525.2812797260507,537.576228662016,0.9997,-0.00029999999999996696,0.9998756271521407,0.9999473890467677
2022-01-05,43432.51,-2392.029999999999,46869.14766443303,48425.8876847802,3536.77,-248.9000000000001,3785.1891303908546,3901.547289603544,0.9999,0.00019999999999997797,1.000023274632681,1.0002456824320622,473.76,-32.97000000000003,517.354928998966,532.8491006129777,0.9998,9.999999999998899e-05,0.9998639922056576,0.9999364713395997
2022-01-06,43094.54,-337.97000000000116,46288.4387929818,48030.97304146315,3406.48,-130.28999999999996,3726.9261872538,3864.8756385218,1.0,9.999999999998899e-05,1.0000196939199608,1.0002274837333909,472.32,-1.4399999999999977,510.42647838374046,528.365463530535,0.9991,-0.0007000000000000339,0.9997464549432488,0.9998745104996294
2022-01-07,41543.79,-1550.75,45558.49282483075,47550.44096431773,3196.47,-210.01000000000022,3645.3175430609076,3815.3641097424074,0.9997,-0.00029999999999996696,0.9999705102399669,1.000188410864251,447.7,-24.620000000000005,500.77625094008806,522.3902440097546,1.0,0.0009000000000000119,0.9997854618750567,0.9998838060181754
2022-01-08,41686.67,142.87999999999738,44962.827774856785,47116.08755955345,3080.81,-115.65999999999985,3558.470228743845,3760.952694205933,1.0,0.00029999999999996696,0.9999750471261258,1.000174454503936,430.21,-17.49000000000001,489.91990464161296,515.5620777868098,1.0,0.0,0.9998184677404326,0.999892412979792
2022-01-09,41869.6,182.9300000000003,44486.94657872497,46727.45885143838,3150.83,70.01999999999998,3495.756347398638,3715.7584205610488,1.0,0.0,0.9999788860297988,1.0001615319480888,438.79,8.580000000000041,482.0537654659802,509.87525721000907,1.0,0.0,0.999846395780366,0.9999003823886963
2022-01-10,41832.59,-37.01000000000204,44078.5840281519,46364.87597355405,3083.68,-67.15000000000009,3432.359986260386,3668.937796815786,1.0,0.0,0.9999821343329066,1.0001495666186007,425.03,-13.760000000000048,473.280878471214,503.590423342601,1.0,0.0,0.9998700271987713,0.9999077614710151
