Model,Target,RMSE,R2
Linear Regression,BTC_0d,1.5226807349760333e-11,1.0
Linear Regression,BTC_1d,780.8008002268912,0.9670407191859098
Linear Regression,BTC_7d,2605.7451135709816,0.7378055317399845
Linear Regression,BTC_14d,4679.664830471325,0.31964229584705095
Linear Regression,BTC_28d,7544.565244889315,-0.32712757905826306
ARIMA,BTC_0d,4234.994912274699,-0.008009119008410837
SARIMA,BTC_0d,3794.2208083408145,0.19089687585546555
ARIMA,BTC_1d,4315.058240038189,-0.0066315791667486135
SARIMA,BTC_1d,3922.862322235022,0.16803825014635854
ARIMA,BTC_7d,5355.32111271245,-0.10746674588743788
SARIMA,BTC_7d,4689.867443951546,0.1506615282518161
ARIMA,BTC_14d,6181.719109388435,-0.18720671331812322
SARIMA,BTC_14d,7994.942741381333,-0.9858138009739916
ARIMA,BTC_28d,9298.937680428244,-1.0160946232773633
SARIMA,BTC_28d,10373.515883231015,-1.5089741659523144
Random Forest,BTC_0d,1433.288421592579,0.8845415134829546
Random Forest,BTC_1d,1728.9994153636621,0.8383830450255745
Random Forest,BTC_7d,3294.5755647326364,0.5808604847706098
Random Forest,BTC_14d,4485.374162048192,0.37496381130863377
Random Forest,BTC_28d,6606.622306785133,-0.017661151257482244
